agent,seed_index,step,reward,tb_run
vanilla,0,110592,132.4712677001953,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,112640,157.6322784423828,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,114688,177.006591796875,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,116736,199.5361785888672,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,118784,223.6479034423828,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,120832,233.42703247070312,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,122880,231.3603973388672,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,124928,199.12399291992188,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,126976,175.38961791992188,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,129024,130.6111297607422,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,131072,99.65912628173828,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,133120,65.15253448486328,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,135168,38.45891189575195,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,137216,15.039380073547363,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,139264,-10.489425659179688,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,141312,-33.102691650390625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,143360,-44.28312301635742,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,145408,-42.67888259887695,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,147456,-41.935001373291016,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,149504,-41.47368621826172,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,151552,-41.36409378051758,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,153600,-41.141780853271484,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,155648,-40.433265686035156,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,157696,-39.36753845214844,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,159744,-39.01327896118164,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,161792,-38.862552642822266,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,163840,-38.811256408691406,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,165888,-39.573272705078125,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,167936,-24.41800880432129,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,169984,14.231711387634277,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,172032,15.049845695495605,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,174080,63.48029708862305,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,176128,1444.3333740234375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,178176,1444.81396484375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,180224,1450.4588623046875,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,182272,2616.673583984375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,184320,2652.296630859375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,186368,2649.6669921875,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,188416,2632.73681640625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,190464,2593.4716796875,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,192512,2592.59228515625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,194560,2544.429443359375,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,196608,1162.867431640625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,198656,1161.92431640625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,200704,1155.8857421875,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,202752,-10.980504989624023,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,204800,-45.1669807434082,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,206848,-41.01036834716797,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,208896,-31.628416061401367,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,210944,-29.793102264404297,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,212992,-21.76322364807129,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
