agent,seed,step,value
hace_001,0,800,-43.81419372558594
hace_001,0,1600,-40.591487884521484
hace_001,0,2400,-38.567386627197266
hace_001,0,3200,-39.18583297729492
hace_001,0,4000,-39.318763732910156
hace_001,0,4800,-40.0037727355957
hace_001,0,5600,-38.916927337646484
hace_001,0,6400,-38.71766662597656
hace_001,0,7200,-11.591151237487793
hace_001,0,8000,-18.141958236694336
hace_001,0,8800,-23.42425537109375
hace_001,0,9600,-28.39688491821289
hace_001,0,10400,-30.95256805419922
hace_001,0,11200,-33.29423904418945
hace_001,0,12000,-35.45270538330078
hace_001,0,12800,-37.437049865722656
hace_001,0,13600,-40.28488540649414
hace_001,0,14400,-41.78517150878906
hace_001,0,15200,-42.721195220947266
hace_001,0,16000,-43.163673400878906
hace_001,0,16800,-43.18693923950195
hace_001,0,17600,-42.472900390625
hace_001,0,18400,-41.85708236694336
hace_001,0,19200,-41.45793533325195
hace_001,0,20000,-41.14195251464844
hace_001,0,20800,-40.86201477050781
hace_001,0,21600,-40.994544982910156
hace_001,0,22400,-41.42610168457031
hace_001,0,23200,-41.62533950805664
hace_001,0,24000,-42.191795349121094
hace_001,0,24800,-42.50357437133789
hace_001,0,25600,-43.437191009521484
hace_001,0,26400,-43.73158645629883
hace_001,0,27200,-53.03810119628906
hace_001,0,28000,-51.60490798950195
hace_001,0,28800,-49.24481201171875
hace_001,0,29600,-41.172882080078125
hace_001,0,30400,-31.600736618041992
hace_001,0,31200,-12.77081298828125
hace_001,0,32000,50.94585418701172
hace_001,0,32800,57.55095672607422
hace_001,0,33600,82.7767105102539
hace_001,0,34400,103.29833221435547
hace_001,0,35200,111.77436828613281
hace_001,0,36000,163.27015686035156
hace_001,0,36800,176.14857482910156
hace_001,0,37600,176.55816650390625
hace_001,0,38400,179.86878967285156
hace_001,0,39200,185.91542053222656
hace_001,0,40000,222.11936950683594
hace_001,0,40800,241.34213256835938
hace_001,0,41600,373.2655334472656
hace_001,0,42400,508.1785583496094
hace_001,0,43200,643.0128173828125
hace_001,0,44000,778.2749633789062
hace_001,0,44800,913.7161865234375
hace_001,0,45600,1049.9503173828125
hace_001,0,46400,1185.4500732421875
hace_001,0,47200,1319.7230224609375
hace_001,0,48000,1454.697509765625
hace_001,0,48800,1562.58154296875
hace_001,0,49600,1665.9415283203125
hace_001,0,50400,1792.7244873046875
hace_001,0,51200,1910.4415283203125
hace_001,0,52000,1983.271240234375
hace_001,0,52800,2113.71533203125
hace_001,0,53600,2225.533203125
hace_001,0,54400,2341.232666015625
hace_001,0,55200,2469.13818359375
hace_001,0,56000,2553.30712890625
hace_001,0,56800,2675.200927734375
hace_001,0,57600,2810.32421875
hace_001,0,58400,2943.435302734375
hace_001,0,59200,3075.162109375
hace_001,0,60000,3174.739501953125
hace_001,0,60800,3293.43994140625
hace_001,0,61600,3297.505859375
hace_001,0,62400,3298.425537109375
hace_001,0,63200,3299.80810546875
hace_001,0,64000,3298.853515625
hace_001,0,64800,3298.5439453125
hace_001,0,65600,3298.815673828125
hace_001,0,66400,3299.187255859375
hace_001,0,67200,3301.362060546875
hace_001,0,68000,3306.298828125
hace_001,0,68800,3334.92236328125
hace_001,0,69600,3365.303466796875
hace_001,0,70400,3367.424072265625
hace_001,0,71200,3371.98046875
hace_001,0,72000,3373.403076171875
hace_001,0,72800,3376.65185546875
hace_001,0,73600,3381.7685546875
hace_001,0,74400,3384.508056640625
hace_001,0,75200,3385.57666015625
hace_001,0,76000,3386.546630859375
hace_001,0,76800,3392.435791015625
hace_001,0,77600,3393.082275390625
hace_001,0,78400,3393.16357421875
hace_001,0,79200,3375.5673828125
hace_001,0,80000,3336.350341796875
hace_001,0,80800,3334.345458984375
hace_001,0,81600,3336.2197265625
hace_001,0,82400,3336.37841796875
hace_001,0,83200,3330.898681640625
hace_001,0,84000,3331.289306640625
hace_001,0,84800,3338.182373046875
hace_001,0,85600,3343.322509765625
hace_001,0,86400,3348.48681640625
hace_001,0,87200,3348.392578125
hace_001,0,88000,3348.59228515625
hace_001,0,88800,3353.325439453125
hace_001,0,89600,3353.5546875
hace_001,0,90400,3354.04833984375
hace_001,0,91200,3358.2958984375
hace_001,0,92000,3364.831298828125
hace_001,0,92800,3365.716552734375
hace_001,0,93600,3365.890380859375
hace_001,0,94400,3367.220458984375
hace_001,0,95200,3386.541748046875
hace_001,0,96000,3394.231201171875
hace_001,0,96800,3394.799072265625
hace_001,0,97600,3403.88134765625
hace_001,0,98400,3409.32421875
hace_001,0,99200,3444.348388671875
hace_001,0,100000,3495.57275390625
hace_001,0,100800,3502.6611328125
hace_001,0,101600,3511.634765625
hace_001,0,102400,3532.2841796875
hace_001,0,103200,3562.16748046875
hace_001,0,104000,3581.004638671875
hace_001,0,104800,3596.360595703125
hace_001,0,105600,3609.22607421875
hace_001,0,106400,3622.834228515625
hace_001,0,107200,3641.00341796875
hace_001,0,108000,3659.681884765625
hace_001,0,108800,3670.520751953125
hace_001,0,109600,3681.599853515625
hace_001,0,110400,3696.448486328125
hace_001,0,111200,3698.08203125
hace_001,0,112000,3702.14697265625
hace_001,0,112800,3721.867919921875
hace_001,0,113600,3731.225341796875
hace_001,0,114400,3746.486328125
hace_001,0,115200,3740.99755859375
hace_001,0,116000,3740.130615234375
hace_001,0,116800,3741.93603515625
hace_001,0,117600,3804.394775390625
hace_001,0,118400,3869.7822265625
hace_001,0,119200,3923.281982421875
hace_001,0,120000,3979.132568359375
hace_001,0,120800,4063.839111328125
hace_001,0,121600,4081.056640625
hace_001,0,122400,4094.43408203125
hace_001,0,123200,4076.075439453125
hace_001,0,124000,4056.021240234375
hace_001,0,124800,4056.873779296875
hace_001,0,125600,4089.91845703125
hace_001,0,126400,4111.3896484375
hace_001,0,127200,4076.575927734375
