agent,seed,step,value
vanilla,0,160000,231199.125
vanilla,0,160800,231191.625
vanilla,0,161600,231240.140625
vanilla,0,162400,231299.984375
vanilla,0,163200,231361.015625
vanilla,0,164000,231420.90625
vanilla,0,164800,231476.09375
vanilla,0,165600,231553.796875
vanilla,0,166400,231584.375
vanilla,0,167200,231550.1875
vanilla,0,168000,231446.9375
vanilla,0,168800,231392.671875
vanilla,0,169600,231305.984375
vanilla,0,170400,231205.875
vanilla,0,171200,231106.265625
vanilla,0,172000,231010.046875
vanilla,0,172800,230895.6875
vanilla,0,173600,230765.21875
vanilla,0,174400,230634.25
vanilla,0,175200,230503.59375
vanilla,0,176000,230357.1875
vanilla,0,176800,230221.296875
vanilla,0,177600,230043.859375
vanilla,0,178400,229884.8125
vanilla,0,179200,229835.40625
vanilla,0,180000,229706.96875
vanilla,0,180800,229561.84375
vanilla,0,181600,229447.578125
vanilla,0,182400,229336.296875
vanilla,0,183200,229285.59375
vanilla,0,184000,229210.5
vanilla,0,184800,229120.625
vanilla,0,185600,229073.25
vanilla,0,186400,229033.21875
vanilla,0,187200,229053.203125
vanilla,0,188000,229132.21875
vanilla,0,188800,229141.21875
vanilla,0,189600,229191.78125
vanilla,0,190400,229273.09375
vanilla,0,191200,229352.40625
vanilla,0,192000,229414.40625
vanilla,0,192800,229489.171875
vanilla,0,193600,229620.953125
vanilla,0,194400,229699.140625
vanilla,0,195200,229730.1875
vanilla,0,196000,229758.0
vanilla,0,196800,229798.140625
vanilla,0,197600,229817.21875
vanilla,0,198400,229880.015625
vanilla,0,199200,229825.140625
vanilla,0,200000,229827.828125
vanilla,0,200800,229931.875
vanilla,0,201600,229956.703125
vanilla,0,202400,229976.875
vanilla,0,203200,229969.28125
vanilla,0,204000,229952.609375
vanilla,0,204800,230012.546875
vanilla,0,205600,229993.3125
vanilla,0,206400,230011.3125
vanilla,0,207200,229966.328125
vanilla,0,208000,229924.25
vanilla,0,208800,229906.59375
vanilla,0,209600,229967.046875
vanilla,0,210400,229957.65625
vanilla,0,211200,229974.09375
vanilla,0,212000,230028.390625
